,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
399,Acer,Aspire,16,512,15.6,Windows 11,512,1,"24,000 "
400,Lenovo,V,16,512,15.6,64 bit Windows 11,512,,
401,Acer,Predator,16,,16,64 bit Windows 11 Home,8,1,"25,000 "
402,ASUS,ROG,16,,16,Windows 11 Home,,1,"28,000 "
403,MICROSOFT,12,16,256,12,64 bit Windows 11 Home,256,1,
404,ASUS,Chromebook,8,,15.6,Chrome,128,1,"20,000 "
405,MSI,Katana,8,512,15.6,Windows 11,512,2,"22,000 "
406,Samsung,Galaxy,16,,15.6,Windows 11,,1,"22,000 "
407,Avita,E,8,512,15.6,64 bit Windows 11 Home,512,1,"20,000 "
408,ASUS,ROG,16,,16,Windows 11 Home,,1,"28,000 "
409,Infinix,ZERO,16,512,15.6,Windows 11,512,1,"22,000 "
410,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
411,DELL,16,16,512,16,Windows 11,,1,"22,000 "
412,DELL,Vostro,16,512,15.6,Windows 11 Home,512,1,
413,HP,Intel,8,512,15.6,64 bit Windows 11,512,1,
414,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"26,000 "
415,Apple,MacBook,24,512,13.6,Mac OS,512,1,"22,000 "
416,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
417,DELL,Inspiron,8,512,15.6,64 bit Windows 11,512,,
418,ASUS,Vivobook,16,512,15.6,Windows 11,512,1,
419,ASUS,,4,,15.6,64 bit Windows 11 Home,500,1,"13,500 "
420,Lenovo,Yoga,16,,14,Windows 11,,1,"22,000 "
421,DELL,14,16,512,14,Windows 11,512,,"22,000 "
422,HP,Laptop,8,512,15.6,64 bit Windows 11,512,1,"22,000 "
423,Lenovo,IdeaPad,8,256,15.6,64 bit Windows 11,256,1,
424,Acer,Aspire,8,512,15.6,64 bit Windows 11 Home,512,,"22,000 "
425,HP,Intel,8,512,15.6,Windows 11 Home,512,1,"22,000 "
426,Lenovo,IdeaPad,16,512,15.3,Windows 11 Home,512,1,"22,000 "
427,ASUS,TUF,16,512,16,Windows 11 Home,,1,"22,000 "
428,HP,Pavilion,16,,14,64 bit Windows 11,,1,
429,HP,15R,8,512,15.6,64 bit Windows 11 Home,512,1,
430,Samsung,Galaxy,16,512,15.6,Windows 11,512,1,"22,000 "
431,ASUS,Chromebook,8,,14,Chrome,128,1,"22,000 "
432,ASUS,ROG,16,,16,Windows 11 Home,,1,"28,000 "
433,MSI,Intel,16,512,14,Windows 11,512,1,"22,000 "
434,DELL,Latitude,8,512,14,64 bit Windows 11,512,1,
435,DELL,Inspiron,8,512,15.6,64 bit Windows 11,512,,
436,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
437,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
438,ASUS,Vivobook,16,512,15.6,Windows 11,512,1,
439,HP,Intel,16,,15.6,Windows 11 Home,6,1,
440,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
441,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
442,ASUS,Intel,16,512,14,Windows 11,512,1,
443,HP,Chromebook,4,,14,64 bit Chrome,64,1,"20,000 "
444,ASUS,Gaming,16,512,16,64 bit Windows 11 Home,,1,
445,Acer,AMD,16,,15.6,Windows 11,,1,
446,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
447,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
448,Lenovo,LOQ,16,512,15.6,Windows 11,512,,
449,HP,Pavilion,16,512,14,Windows 11 Home,512,1,"22,000 "
450,DELL,15,16,512,15.6,Windows 11 Home,512,,"22,000 "
451,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
452,Lenovo,LOQ,12,512,15.6,Windows 11 Home,512,1,"22,000 "
453,ASUS,Vivobook,16,512,14,Windows 11 Home,,,"26,000 "
454,Samsung,Galaxy,32,,15.6,64 bit Windows 11,,1,"22,000 "
455,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,
456,HP,Pavilion,16,512,14,Windows 11 Home,512,1,"22,000 "
457,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,
458,Lenovo,V14,16,512,14,Windows 11,512,1,
459,DELL,Inspiron,8,512,15.6,64 bit Windows 11,512,1,
460,Lenovo,IdeaPad,8,512,14,Windows 11,512,,"22,000 "
461,Lenovo,IdeaPad,8,512,14,Windows 11,512,,"22,000 "
462,Lenovo,IdeaPad,8,512,15.6,Windows 11,512,,"22,000 "
463,Lenovo,V,8,512,15.6,64 bit Windows 11,512,,
464,MSI,Intel,16,512,14,Windows 11,512,1,"22,000 "
465,Lenovo,V,16,512,14,64 bit Windows 11 Home,512,1,
466,Acer,Predator,16,,16,Windows 11,8,1,
467,Infinix,ZEROBOOK,16,512,15.3,Windows 11,512,1,"22,000 "
468,Lenovo,V,8,512,15.6,64 bit Windows 11 Home,512,1,
469,Apple,MacBook,16,512,13.6,Mac OS,512,1,"22,000 "
470,Lenovo,Yoga,16,,13.3,Windows 11,,,"22,000 "
471,ASUS,Vivobook,16,,15.6,Windows 11,,1,"26,000 "
472,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,
473,Lenovo,IdeaPad,8,512,14,Windows 11,512,,"22,000 "
474,Lenovo,LOQ,12,512,15.6,Windows 11 Home,512,1,"22,000 "
475,Primebook,4G,4,,11.6,Android,64,1,"20,000 "
476,Infinix,ZEROBOOK,16,512,15.6,Windows 11,512,1,"22,000 "
477,HP,15,8,512,15.6,64 bit Windows 11 Home,512,1,
478,ASUS,Vivobook,16,,15.6,Windows 11,,1,"26,000 "
479,DELL,Inspiron,8,512,14,64 bit Windows 11,512,,"22,000 "
480,Samsung,Galaxy,16,512,15.6,64 bit Windows 11,512,1,"22,000 "
481,Acer,Chromebook,8,,15.6,Chrome,128,1,"11,000 "
482,Lenovo,Legion,16,,16,Windows 11,6,,"32,000 "
483,HP,G9,16,512,15.6,64 bit Windows 11,512,,
484,ASUS,Vivobook,16,512,16,64 bit Windows 11 Home,,1,
485,DELL,Latitude,8,512,15.6,Linux/Ubuntu,512,,
486,Lenovo,100e,4,,11.6,Chrome,32,1,"8,200 "
487,Lenovo,100e,4,,11.6,Chrome,64,1,"9,500 "
488,DELL,Latitude,8,512,15.6,64 bit Windows 11,512,1,
489,Acer,Acer,8,512,15.6,Windows 11 Home,512,,"22,000 "
490,HP,MSO,16,512,15.6,Windows 11 Home,512,1,"22,000 "
491,ASUS,Vivobook,8,512,15.6,Windows 11 Home,512,1,"26,000 "
492,Infinix,ZERO,16,512,15.6,Windows 11,512,1,"22,000 "
